x y z
-0.025 -0.047 0.000362880022488764
-0.024 -0.047 0.000354160550921992
-0.023 -0.047 0.000345362042692662
-0.022 -0.047 0.000336482823813251
-0.021 -0.047 0.000327696873188278
-0.02 -0.047 0.000319488017647997
-0.019 -0.047 0.000311207634301011
-0.018 -0.047 0.000302854278394857
-0.017 -0.047 0.000294426433536454
-0.016 -0.047 0.000285922506901446
-0.015 -0.047 0.000277472898362955
-0.014 -0.047 0.000269691995901215
-0.013 -0.047 0.000261845103043434
-0.012 -0.047 0.000253930897825467
-0.011 -0.047 0.000245947992371118
-0.01 -0.047 0.000237894928507613
-0.009 -0.047 0.000229853496125465
-0.008 -0.047 0.000222580382064568
-0.007 -0.047 0.000215248077137483
-0.00600000000000001 -0.047 0.000207855433857476
-0.005 -0.047 0.000200401247852733
-0.004 -0.047 0.000192884254154236
-0.003 -0.047 0.000185332284388927
-0.002 -0.047 0.000178655920479892
-0.001 -0.047 0.000171928450447737
0 -0.047 0.00016514895050801
0.001 -0.047 0.00015859806352856
0.002 -0.047 0.000151994128510058
0.003 -0.047 0.000145335851771903
0.004 -0.047 0.000139608037699928
0.005 -0.047 0.000133870038408236
0.006 -0.047 0.000128090417244481
0.007 -0.047 0.000122268278064829
0.008 -0.047 0.000116402687641359
0.009 -0.047 0.000110492673552781
0.01 -0.047 0.000105503494630718
0.011 -0.047 0.000100579206910107
0.012 -0.047 9.56232996679052e-05
0.013 -0.047 9.06351811892296e-05
0.014 -0.047 8.56142376896753e-05
0.015 -0.047 8.05598321972019e-05
0.016 -0.047 7.64088364532302e-05
0.017 -0.047 7.24031455097865e-05
0.018 -0.047 6.83760573537115e-05
0.019 -0.047 6.4327255973494e-05
0.02 -0.047 6.02564152438381e-05
0.021 -0.047 5.61631984960648e-05
0.022 -0.047 5.29458536729775e-05
0.023 -0.047 4.99572680224405e-05
0.024 -0.047 4.69565587599554e-05
0.025 -0.047 4.39436116635912e-05
0.026 -0.047 4.09183095310863e-05
0.027 -0.047 3.78805320823567e-05
0.028 -0.047 3.56788111987097e-05
0.029 -0.047 3.37891216378504e-05
0.03 -0.047 3.18942239952008e-05
0.031 -0.047 2.99941068701107e-05
0.032 -0.047 2.80887585424574e-05
0.033 -0.047 2.61781669644639e-05
0.034 -0.047 2.50501015649509e-05
0.035 -0.047 2.43134038804331e-05
0.036 -0.047 2.35747375484556e-05
0.037 -0.047 2.28341104163026e-05
0.038 -0.047 2.20915303781634e-05
0.039 -0.047 2.13470053746633e-05
0.04 -0.047 2.13176768030278e-05
0.041 -0.047 2.17515281741527e-05
0.042 -0.047 2.21821725333845e-05
0.043 -0.047 2.26096108774528e-05
0.044 -0.047 2.30338442691993e-05
0.045 -0.047 2.34548738376018e-05
0.046 -0.047 2.45116208499861e-05
0.047 -0.047 2.60931717383851e-05
0.048 -0.047 2.76658271999968e-05
0.049 -0.047 2.9229629482261e-05
0.05 -0.047 3.07846202518541e-05
-0.05 -0.046 0.000587324224278098
-0.049 -0.046 0.000577868872366786
-0.048 -0.046 0.000568327162814619
-0.047 -0.046 0.000558697522318528
-0.046 -0.046 0.000548978308040701
-0.045 -0.046 0.000539474044373349
-0.044 -0.046 0.000530252274376504
-0.043 -0.046 0.000520946996784518
-0.042 -0.046 0.000511556671562665
-0.041 -0.046 0.00050207968934925
-0.04 -0.046 0.000492514367076024
-0.039 -0.046 0.000483137720464602
-0.038 -0.046 0.00047410631180541
-0.037 -0.046 0.000464993284734201
-0.036 -0.046 0.000455797082608485
-0.035 -0.046 0.000446516076432732
-0.034 -0.046 0.000437148560187967
-0.033 -0.046 0.000427940724359637
-0.032 -0.046 0.000419147141718472
-0.031 -0.046 0.000410274504089127
-0.03 -0.046 0.000401321260631979
-0.029 -0.046 0.000392285786419385
-0.028 -0.046 0.000383166377567554
