x y z
-1.35 -1.8 0.00359612273320098
-1.2 -1.8 0.00242073027769429
-1.05 -1.8 0.0011330912824703
-0.9 -1.8 -0.000266974005993736
-0.75 -1.8 -0.00177949004905698
-0.6 -1.8 -0.00340432438847194
-0.45 -1.8 -0.00514118661318541
-0.3 -1.8 -0.00698962793318392
-0.15 -1.8 -0.00894904136869001
0 -1.8 -0.0110186625583812
0.15 -1.8 -0.0119200178829031
0.3 -1.8 -0.0128536075466401
0.45 -1.8 -0.0138192882924209
0.6 -1.8 -0.014816903563202
0.75 -1.8 -0.0158462836262478
0.9 -1.8 -0.0169072457123808
1.05 -1.8 -0.0179995941700397
1.2 -1.8 -0.0191231206338585
1.35 -1.8 -0.0202776042074349
1.5 -1.8 -0.0214628116599396
1.65 -1.8 -0.0226784976361766
1.8 -1.8 -0.0239244048796842
1.95 -1.8 -0.0252002644684357
2.1 -1.8 -0.0265057960626744
2.25 -1.8 -0.0278407081643939
2.4 -1.8 -0.0292046983879518
2.55 -1.8 -0.0305974537412861
2.7 -1.8 -0.0320186509171813
2.85 -1.8 -0.03346795659402
3 -1.8 -0.0349450277454341
-3 -1.65 0.00764727000569487
-2.85 -1.65 0.00781628711289684
-2.7 -1.65 0.00788542411685023
-2.55 -1.65 0.00785298755949515
-2.4 -1.65 0.00771738715185222
-2.25 -1.65 0.00747714216716866
-2.1 -1.65 0.00713088760412073
-1.95 -1.65 0.00667738007862284
-1.8 -1.65 0.00611550340328482
-1.65 -1.65 0.0054442738144721
-1.5 -1.65 0.00466284480827472
-1.35 -1.65 0.00377051154846519
-1.2 -1.65 0.00276671481172652
-1.05 -1.65 0.00165104443804875
-0.9 -1.65 0.000423242257199141
-0.75 -1.65 -0.000916795534452897
-0.6 -1.65 -0.00236901656876776
-0.45 -1.65 -0.00393321109032752
-0.3 -1.65 -0.00560901134433833
-0.15 -1.65 -0.00739589157723419
0 -1.65 -0.00929316865466978
0.15 -1.65 -0.0101228051111635
